file name,style,color,place,object
cozy_F_2-1.png,"wood, cozy, modern","Beige, Ivory, Khaki","dining room, living room, fabric store","drop-leaf table, table linen, napery, dining table, board"
cozy_F_1.png,"wood, modern, traditional","Ivory, Beige, Khaki","dining room, living room, home office","pedestal table, drop-leaf table, furniture, piece of furniture, article of furniture"
cozy_E_2-3.png,"cozy, wood, luxury","Beige, Khaki, Ivory","bedroom, clean room, sandbox","daybed, divan bed, platform bed, baby bed, baby's bed"
cozy_E_2-1.png,"wood, cozy, modern","Beige, Khaki, Ivory","bedroom, clean room, art studio","daybed, divan bed, platform bed, studio couch, day bed"
cozy_F_2-2.png,"wood, modern, cozy","Beige, Khaki, Ivory","dining room, zen garden, living room","drop-leaf table, table linen, napery, pedestal table"
cozy_F_2-3.png,"wood, modern, cozy","Beige, Ivory, Khaki","dining room, living room, fabric store","table linen, napery, drop-leaf table, dishtowel, dish towel, tea towel"
cozy_E_2-2.png,"cozy, wood, modern","Beige, Khaki, Ivory","sandbox, clean room, bedroom","daybed, divan bed, platform bed, studio couch, day bed"
cozy_E_1.png,"wood, modern, cozy","Beige, Ivory, Khaki","living room, bedchamber, art studio","daybed, divan bed, platform bed, chaise longue, chaise, daybed"
antique_I_1.png,"traditional, industrial, luxury","Ivory, Green, Khaki","bedchamber, indoor general store, indoor museum","chiffonier, commode, secretary, writing table, escritoire, secretaire, hope chest, wedding chest"
antique_G_2-3.png,"traditional, wood, luxury","Khaki, Beige, Ivory","dining room, throne room, conference room","tea table, inkwell, inkstand, drop-leaf table"
antique_I_2-1.png,"luxury, wood, traditional","Ivory, Silver, White","indoor general store, bedchamber, mausoleum","chiffonier, commode, hope chest, wedding chest, secretary, writing table, escritoire, secretaire"
antique_G_2-2.png,"traditional, wood, office","Khaki, Ivory, Beige","dining room, throne room, recreation room","tea table, drop-leaf table, inkwell, inkstand"
